Season,City,Date,Match_Type,Player_of_match,Venue,team1,team2,toss_winner,toss_decision,winner ,result,result_margin,target_runs,target_overs,super_over
2025,Hyderabad,5/10/2025,League,,Rajiv Gandhi International Stadium, Sunrisers Hyderabad, Kolkata Knight Riders,Unknown,,Unknown,,,,,
2025,Dharamsala,5/11/2025,League,,Himachal Pradesh Cricket Association Stadium, Punjab Kings, Mumbai Indians,Unknown,,Unknown,,,,,
2025,Delhi,5/11/2025,League,,Arun Jaitley Stadium, Delhi Capitals, Gujarat Titans,Unknown,,Unknown,,,,,
2025,Chennai,5/12/2025,League,,MA Chidambaram Stadium, Chennai Super Kings, Rajasthan Royals,Unknown,,Unknown,,,,,
2025,Bengaluru,5/13/2025,League,,M Chinnaswamy Stadium, Royal Challengers Bengaluru, Sunrisers Hyderabad,Unknown,,Unknown,,,,,
2025,Ahmedabad,5/14/2025,League,,Narendra Modi Stadium, Gujarat Titans, Lucknow Super Giants,Unknown,,Unknown,,,,,
2025,Mumbai,5/15/2025,League,,Wankhede Stadium, Mumbai Indians, Delhi Capitals,Unknown,,Unknown,,,,,
2025,Jaipur,5/16/2025,League,,Sawai Mansingh Stadium, Rajasthan Royals, Punjab Kings,Unknown,,Unknown,,,,,
2025,Bengaluru,5/17/2025,League,,M Chinnaswamy Stadium, Royal Challengers Bengaluru, Kolkata Knight Riders,Unknown,,Unknown,,,,,
2025,Ahmedabad,5/18/2025,League,,Narendra Modi Stadium, Gujarat Titans, Chennai Super Kings,Unknown,,Unknown,,,,,
2025,Lucknow,5/18/2025,League,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Crick, Lucknow Super Giants, Sunrisers Hyderabad,Unknown,,Unknown,,,,,
2025,Hyderabad,5/20/2025,Qualifier 1,,Rajiv Gandhi International Stadium,TBD,TBD,Unknown,,Unknown,,,,,
2025,Hyderabad,5/21/2025,Eliminator,,Rajiv Gandhi International Stadium,TBD,TBD,Unknown,,Unknown,,,,,
2025,Kolkata,5/23/2025,Qualifier 2,,Eden Gardens,TBD,TBD,Unknown,,Unknown,,,,,
2025,Kolkata,5/25/2025,Final,,Eden Gardens,TBD,TBD,Unknown,,Unknown,,,,,
